"mean","se","lower","upper","level","statistic","treatment","pair_cnt"
1.22777533776613,0.174759713875436,0.884979090453059,1.57057158507919,0.05,"arithmetic",2,1518
1.37065694011514,0.173002144247363,1.03136783231712,1.70994604791317,0.05,"arithmetic",3,1946
1.6135303304523,0.194859943812404,1.23137380202251,1.9956868588821,0.05,"arithmetic",4,1944
2.11413592640007,0.24352905634316,1.6365029696278,2.59176888317234,0.05,"arithmetic",5,1781
2.49872578313129,0.262826251311369,1.98321440954479,3.01423715671778,0.05,"arithmetic",6,1637
2.50802225697223,0.302546154475442,1.91453215120122,3.10151236274324,0.05,"arithmetic",7,1408
3.57511944842985,0.342007553464222,2.90415549380749,4.24608340305221,0.05,"arithmetic",8,1267
3.38798938880762,0.388432083637681,2.62581916541687,4.15015961219837,0.05,"arithmetic",9,1077
3.26281280093364,0.396890387493598,2.48393893160389,4.04168667026338,0.05,"arithmetic",10,960
4.09048285306641,0.408445071207652,3.28877755681895,4.89218814931388,0.05,"arithmetic",11,832
4.97992370105074,0.499130921886086,3.99995549316281,5.95989190893867,0.05,"arithmetic",12,703
4.32328640336126,0.51896891363135,3.30409381302337,5.34247899369914,0.05,"arithmetic",13,608
5.52636648954656,0.571758067386047,4.40328324385424,6.64944973523888,0.05,"arithmetic",14,554
5.1653981773024,0.561849656574348,4.0615369859247,6.26925936868009,0.05,"arithmetic",15,504
