in_degree,weak_SD,cnt,mean,ci_lower,ci_upper
0,0,116135,0.6139288716032921,0.6008143313842699,0.6271584978106989
1,1,33011,2.0911760556367054,2.0439820721075495,2.1374322127725374
2,1,1133,2.176708378383919,1.9170881192444673,2.4203484035682807
2,2,19344,3.164040048922233,3.084433627409772,3.2408225892391185
3,1,253,2.1665986721212787,1.6718545031536611,2.637701326494697
3,2,1027,3.223304100295227,2.9129920712073654,3.5153647260339578
3,3,9490,5.216087037400018,5.0752678151784485,5.357762101302323
4,1,131,2.2882547336966192,1.4758913831290412,2.9872920586511142
4,2,281,2.912234729409275,2.3273110273675517,3.452986236703765
4,3,878,4.710063626130898,4.286540448537339,5.1377990936796785
4,4,5866,7.094834124018588,6.892155181479177,7.299594310907219
5,1,59,2.2125208849308136,1.2051743060383475,3.0918101508956175
5,2,172,3.2700569835014353,2.431785617155157,4.042793651720681
5,3,294,4.293178448565462,3.6358269622696726,4.934884556253418
5,4,746,6.686343700838538,6.125729545578211,7.240994078926025
5,5,3858,8.984033446483576,8.715741891661555,9.261546396070026
6,1,35,1.949693283441698,0.4119784524394894,3.215335355852706
6,2,79,4.815133105976826,3.4549209298856427,6.079081788709383
6,3,145,4.474918511903224,3.454860921321977,5.441394501349171
6,4,248,5.773715553100308,4.838131002716942,6.695682511884874
6,5,686,7.227098789412632,6.607180027394326,7.825701843844271
6,6,2736,10.618666628780797,10.264406147061626,10.973375411639202
7,1,21,4.0865725229177805,1.8726957486050813,6.178144592913584
7,2,54,3.9691923887670946,2.3451386698764756,5.416659273467703
7,3,64,5.023459013313697,3.472921266441915,6.485766553513056
7,4,141,6.464965441152417,5.254831518470108,7.655174576784256
7,5,207,6.340809176326178,5.320755443896108,7.3414333575911
7,6,530,9.908542971431046,9.092678197488624,10.682236571513934
7,7,2034,12.378546260392408,11.94462543851064,12.806840641152695
8,1,9,7.3192807752159945,2.7629129151575036,11.506200380479745
8,2,26,4.096783612661537,1.4530698463930403,6.369506392821322
8,3,45,4.5244380271180535,2.6523315112571595,6.216417705345331
8,4,73,5.446166199997486,3.768254755731091,7.0152148326716315
8,5,147,7.1211825843175935,5.668599449351971,8.477078239651634
8,6,235,8.646209336180465,7.477039036495116,9.771714696327447
8,7,465,10.463355129464366,9.600938459063695,11.358392650989696
8,8,1611,13.798956822680127,13.277577321652728,14.317257887215224
9,1,9,2.1425354958577527,-1.2175481023810946,4.285070991715505
9,2,28,3.4501165886108596,0.920746015569736,5.405868524607619
9,3,36,5.983477711365855,3.9687943247765176,7.892312072009428
9,4,44,5.873025141204199,3.7224624078713244,7.87087503654275
9,5,89,6.959950828073684,5.119047969972231,8.681537317040199
9,6,108,9.530918043624464,7.611113781944489,11.319612820743288
9,7,172,10.332430976382664,8.888664942631971,11.742346510994398
9,8,352,11.789364223922265,10.723977779351364,12.86799855592798
9,9,1167,15.950667003133036,15.341713165852912,16.55002624075851
10,1,11,7.081436141666492,2.058783580786322,11.4355434832596
10,2,14,2.0779638543379138,-0.04887149565234772,3.7309034866614033
10,3,19,6.082530541405615,1.6145618162778987,9.576739620120783
10,4,36,5.896738223465771,3.7241266118315792,7.911002411984857
10,5,52,8.34535749823056,5.968461922722549,10.581330275310949
10,6,85,8.596582578100424,6.790316290233934,10.376479738908138
10,7,81,10.064415416445613,8.086752672712347,11.977803330649175
10,8,156,10.495153854719097,9.017252684934428,11.920906791375259
10,9,312,12.621517029813978,11.480238559089786,13.777947247574852
10,10,1047,15.932018672281279,15.292217527801515,16.57087509416082
