sd_kclip_5,kclip_5_weak_SB_f20,cnt,mean,ci_lower,ci_upper
0,0.0,116135,0.6139288716032921,0.6010009028730978,0.6263999552753502
1,1.0,34658,2.0992388411794773,2.0515231420910616,2.144338782982908
2,1.0,4487,0.6238245106323921,0.5511743478696884,0.6938834648883417
2,2.0,16517,3.865974302048189,3.7739408015944833,3.957321603006525
3,1.0,160,2.071461940011259,1.237275871334548,2.8107588136798256
3,2.0,1971,2.518975256431603,2.2912121217083614,2.741356232623085
3,3.0,8848,5.77001148317278,5.614047902879918,5.9205678485122215
4,1.0,22,2.4560447306084696,-0.47593792941390056,4.534460915568547
4,2.0,184,3.28102138486286,2.388762814576709,4.110561160026805
4,3.0,1235,4.651312403675351,4.275131787459625,5.026492938941794
4,4.0,5715,7.5834855533711565,7.372538670486536,7.794526656833934
5,1.0,6,5.00006441584892,-3.8802601143011,10.00012883169784
5,2.0,53,5.950442486293177,3.788192626446845,7.9469873674727225
5,3.0,160,6.4784554340870155,5.206280450388984,7.674665377990063
5,4.0,981,6.661112113975104,6.182200279091959,7.1508468154280695
5,5.0,3845,9.158884287360204,8.87837490332804,9.442375585905852
6,1.0,3,1.8263221535716425,-1.8263221535716414,3.652644307143285
6,2.0,8,6.5634406108047285,-1.6944598919033336,12.861937027100524
6,3.0,46,5.558777454308162,3.3020301694673666,7.586075394825091
6,4.0,152,8.388768447308268,6.971935292350542,9.752157087365337
6,5.0,694,8.059872063923661,7.407182983601981,8.702682620666227
6,6.0,2797,11.063168785257163,10.700797909366653,11.421091809394785
7,2.0,2,2.938960898623368,0.0,5.877921797246736
7,3.0,14,7.419104112601566,3.3845853166012034,11.073412370912251
7,4.0,46,9.963463558276695,6.915610890636758,12.832650258487542
7,5.0,148,10.775079617361115,9.318559316655966,12.206975363768892
7,6.0,561,10.15632577233146,9.381306024790748,10.926856887871407
7,7.0,1986,12.492711798830905,12.054821235335092,12.941286430070486
8,3.0,2,5.119000514201445,0.0,10.23800102840289
8,4.0,15,9.907793050311357,4.579437403324961,14.730180680106235
8,5.0,38,9.062929432750767,6.196906861455476,11.779264379210677
8,6.0,125,12.68529189354119,10.85583004040615,14.55154753426297
8,7.0,440,11.645208764562803,10.674268427442394,12.606802460108831
8,8.0,1505,13.8711159346956,13.35059063110321,14.401809784464607
9,2.0,1,0.0,0.0,0.0
9,3.0,2,9.745251421494228,8.877169560817691,10.613333282170766
9,4.0,1,15.202956270338822,15.202956270338822,15.202956270338824
9,5.0,7,6.979045547929057,-0.6949181029898597,12.820487043714467
9,6.0,45,12.696044888127762,9.776123127670093,15.660784752176555
9,7.0,94,13.000390845948285,11.065716999312484,14.945791162404523
9,8.0,289,14.331361167095517,13.09984463152068,15.553801884903187
9,9.0,1042,15.867248360109295,15.215122791423703,16.51278383555794
10,2.0,1,0.0,0.0,0.0
10,5.0,3,12.060615854015532,4.76580388093501,24.121231708031065
10,6.0,10,16.06535442785142,12.456863712394828,20.29941276203471
10,7.0,20,11.346380216597488,6.391653717229193,15.79902619033049
10,8.0,83,15.89729699249655,13.361456634497731,18.391019137484122
10,9.0,267,16.21755887728068,14.885878226553356,17.528635932335636
10,10.0,663,15.99924084931347,15.207060004565939,16.78780083905833
